"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BC1078","T19",48,0,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1078","T2",30,1,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1078","T20",35,3,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1078","T21",62,0,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1078","T22",33,0,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1078","T23",29,1,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1078","T24",18,2,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1078","T3",10,1,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1078","T4",17,0,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1078","T5",1,1,2017-03-06,2017-03-21,16,10,6,"Big_Creek",NA,"winter","winter.forage"
"BC1078","T6",24,2,2017-03-22,2017-04-06,16,1,15,"Big_Creek",NA,"spring","winter.forage"
"BC1078","T7",39,1,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1078","T8",44,6,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1078","T9",53,8,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1122","T1",9,1,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1122","T10",99,0,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1122","T11",47,0,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1122","T12",6,1,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
"BC1122","T13",27,2,2016-07-01,2016-07-10,10,0,10,"Big_Creek",NA,"summer","summer.forage"
"BC1122","T14",41,1,2016-07-11,2016-07-26,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1122","T15",53,0,2016-07-27,2016-08-11,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1122","T16",92,0,2016-08-12,2016-08-27,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1122","T17",49,0,2016-08-28,2016-09-12,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1122","T18",55,3,2016-09-13,2016-09-28,16,0,16,"Big_Creek",NA,"autumn","summer.forage"
"BC1122","T19",44,1,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1122","T2",12,0,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1122","T20",33,1,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1122","T21",25,1,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1122","T22",14,1,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1122","T23",17,2,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1122","T24",9,1,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1122","T3",10,1,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1122","T4",14,0,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1122","T5",26,0,2017-03-06,2017-03-21,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1122","T6",22,2,2017-03-22,2017-04-06,16,0,16,"Big_Creek",NA,"spring","winter.forage"
"BC1122","T7",11,1,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1122","T8",16,0,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1122","T9",45,0,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1142","T1",30,0,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1142","T10",25,0,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1142","T11",21,0,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1142","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
"BC1142","T13",14,0,2016-07-01,2016-07-10,10,0,10,"Big_Creek",NA,"summer","summer.forage"
"BC1142","T14",30,1,2016-07-11,2016-07-26,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1142","T15",22,0,2016-07-27,2016-08-11,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1142","T16",27,0,2016-08-12,2016-08-27,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1142","T17",18,0,2016-08-28,2016-09-12,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1142","T18",12,2,2016-09-13,2016-09-28,16,0,16,"Big_Creek",NA,"autumn","summer.forage"
"BC1142","T19",27,0,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1142","T2",33,0,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1142","T20",40,0,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1142","T21",59,1,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1142","T22",59,0,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1142","T23",44,0,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1142","T24",46,0,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1142","T3",30,0,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1142","T4",29,0,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1142","T5",29,0,2017-03-06,2017-03-21,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1142","T6",25,0,2017-03-22,2017-04-06,16,0,16,"Big_Creek",NA,"spring","winter.forage"
"BC1142","T7",28,0,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1142","T8",26,0,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1142","T9",21,0,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1186","T1",18,0,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1186","T10",32,1,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1186","T11",26,0,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1186","T12",7,0,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
"BC1186","T13",20,0,2016-07-01,2016-07-10,10,0,10,"Big_Creek",NA,"summer","summer.forage"
"BC1186","T14",25,1,2016-07-11,2016-07-26,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1186","T15",17,0,2016-07-27,2016-08-11,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1186","T16",20,0,2016-08-12,2016-08-27,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1186","T17",24,0,2016-08-28,2016-09-12,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1186","T18",44,0,2016-09-13,2016-09-28,16,0,16,"Big_Creek",NA,"autumn","summer.forage"
"BC1186","T19",22,1,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1186","T2",28,0,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
